Rank,Stadium,Seating Capacity,Region,Country,City,Images,Home Team
93,Basra International Stadium,"65,227",West Asia,Iraq,Basra,https://en.wikipedia.org/wiki/File:Alamodome_Conference_USA_Championship.jpg,UTSA Roadrunners football
94,Camping World Stadium,"65,000",North America,United States,"Orlando, Florida",https://en.wikipedia.org/wiki/File:FordField-2008NCAAtournament-MidwestRegional.jpg,Detroit Lions
95,Alamodome,"65,000",North America,United States,San Antonio,"https://en.wikipedia.org/wiki/File:Stade_Ibn_Batuta,_Tanger.jpg",IR Tanger
96,Ford Field,"65,000",North America,United States,Detroit,https://en.wikipedia.org/wiki/File:LuzLissabon.jpg,Benfica
97,Stade Ibn Battuta,"65,000",Africa,Morocco,Tangier,https://en.wikipedia.org/wiki/File:Stade_5_Juillet_1962.jpg,Algeria national football team
98,Estádio do Sport Lisboa e Benfica,"64,642",Europe,Portugal,Lisbon,https://en.wikipedia.org/wiki/File:Castel%C3%A3o_Arena_(5).jpg,"Ceará SC,Fortaleza EC"
99,Stade du 5-juillet-1962,"64,000",Africa,Algeria,Algiers,https://en.wikipedia.org/wiki/File:Saitama_Stadium_Panorama.jpg,"Urawa Red Diamonds,Saitama Wild Knights"
100,Castelão,"63,903",South America,Brazil,"Fortaleza, Ceará",https://en.wikipedia.org/wiki/File:Warm-ups_at_Brazil_%26_North_Korea_match_at_FIFA_World_Cup_2010-06-15_1.jpg,"Orlando Pirates FC,Emirates Johannesburg Lions"
101,Saitama Stadium 2002,"63,700",East Asia,Japan,Saitama,https://en.wikipedia.org/wiki/File:Spurs_stadium_January_2020.jpg,Tottenham Hotspur
102,Ellis Park Stadium,"62,567",Africa,South Africa,"Johannesburg, Gauteng",https://en.wikipedia.org/wiki/File:080110_schalke_arena_germany.JPG,FC Schalke 04
103,Tottenham Hotspur Stadium,"62,303",Europe,England,London,https://en.wikipedia.org/wiki/File:Qingdao_Guoxin_Stadium.jpg,Qingdao Jonoon FC
104,VELTINS-Arena,"62,271",Europe,Germany,Gelsenkirchen,https://en.wikipedia.org/wiki/File:Stadion_Belo_Horizonte_Halbfinale_WM_2014_(22117986076).jpg,"Atlético Mineiro,Cruzeiro EC"
105,Yizhong Sports Centre Stadium,"62,000",East Asia,China,"Qingdao,Shandong",https://en.wikipedia.org/wiki/File:%E3%82%AD%E3%83%B3%E3%82%B0%E3%83%95%E3%82%A1%E3%83%8F%E3%83%89%E5%9B%BD%E9%9A%9B%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%A2%E3%83%A0.jpg,"Saudi Arabia national football team,Al-Hilal,Al-Nassr,Al-Shabab"
106,Estádio Governador Magalhães Pinto,"61,846",South America,Brazil,"Belo Horizonte, Minas Gerais",https://en.wikipedia.org/wiki/File:The_Refurbished_Soldier_Field.jpg,Chicago Bears
107,King Fahd International Stadium,"61,781",West Asia,Saudi Arabia,Riyadh,https://en.wikipedia.org/wiki/File:Nanjing_Olympic_Sports_Center_inner_view_(2016).jpg,
108,Soldier Field,"61,500",North America,United States,Chicago,https://en.wikipedia.org/wiki/File:Panorama_of_Anfield_with_new_main_stand_(29676137824).jpg,Liverpool FC
109,Nanjing Olympic Sports Centre Stadium,"61,443",East Asia,China,"Nanjing,Jiangsu",https://en.wikipedia.org/wiki/File:Estadio_Benito_Villamar%C3%ADn_2018001.jpg,Real Betis
110,Anfield,"61,276",Europe,England,"Liverpool, England",https://en.wikipedia.org/wiki/File:Football_heaven.jpg,Nigeria national football team
111,Estadio Benito Villamarín,"60,720",Europe,Spain,Seville,https://en.wikipedia.org/wiki/File:Neckarstadion_2011.jpg,VfB Stuttgart
112,Abuja Stadium,"60,491",Africa,Nigeria,Abuja,https://en.wikipedia.org/wiki/File:Celtic_park_2.jpg,Celtic FC
113,MHPArena,"60,469",Europe,Germany,Stuttgart,https://en.wikipedia.org/wiki/File:OutsideUNSA.jpg,FBC Melgar
114,Celtic Park,"60,411",Europe,Scotland,Glasgow,https://en.wikipedia.org/wiki/File:Emirates_Stadium_-_East_stand_Club_Level.jpg,Arsenal
115,Estadio de la UNSA,"60,370",South America,Peru,Arequipa,https://en.wikipedia.org/wiki/File:%E6%B7%B1%E5%9C%B3%E9%BE%99%E5%B2%97%E5%A4%A7%E8%BF%90%E4%B8%AD%E5%BF%83%E4%BD%93%E8%82%B2%E9%A6%86%E5%86%85%E9%83%A8.jpg,
116,Emirates Stadium,"60,338",Europe,England,London,https://en.wikipedia.org/wiki/File:Estadio_Centenario_2021.jpg,Uruguay national football team
117,Shenzhen Universiade Sports Centre Stadium,"60,334",East Asia,China,"Shenzhen,Guangdong",https://en.wikipedia.org/wiki/File:Arruda_em_novembro_de_2013.JPG,Santa Cruz FC
118,Estadio Centenario,"60,235",South America,Uruguay,Montevideo,https://en.wikipedia.org/wiki/File:Al_Bayt_Stadium_architecture.jpg,
119,Estádio José do Rego Maciel,"60,044",South America,Brazil,"Recife,Pernambuco",https://en.wikipedia.org/wiki/File:Tanzania_National_Main_Stadium_Aerial.jpg,"Tanzania national football team,Young Africans"
120,Al-Bayt Stadium,"60,000",West Asia,Qatar,Al-Khor,https://en.wikipedia.org/wiki/File:Hefei_Olympic_Sports_Center_Stadium.jpg,Anhui Jiufang
121,Benjamin Mkapa National Stadium,"60,000",Africa,Tanzania,Dar es-Salaam,https://en.wikipedia.org/wiki/File:Jaber_Al-Ahmad_International_Stadium_2019_local.png,Kuwait national football team
122,Hefei Olympic Sports Centre Stadium,"60,000",East Asia,China,"Hefei,Anhui",https://en.wikipedia.org/wiki/File:Mozambique-Tunisia_match_2009.jpg,Tunisia national football team
123,Jaber al-Ahmad International Stadium,"60,000",West Asia,Kuwait,Kuwait City,"https://en.wikipedia.org/wiki/File:Jawaharlal_Nehru_Stadium,_New_Delhi.png",
124,Hammadi Agrebi Stadium,"60,000",Africa,Tunisia,Tunis,https://en.wikipedia.org/wiki/File:Mogadishustadium.jpg,Somalia national football team
125,Jawaharlal Nehru Stadium,"60,000",South Asia,India,New Delhi,https://en.wikipedia.org/wiki/File:Inauguration_of_Edgar_Lungu.jpg,Zambian national football team
126,Mogadishu Stadium,"60,000",Africa,Somalia,Mogadishu,https://en.wikipedia.org/wiki/File:Autzen_Stadium_at_night.jpg,
128,Autzen Stadium,"60,000",North America,United States,"Eugene, Oregon",https://en.wikipedia.org/wiki/File:Morodok_Techo_National_Stadium.jpg,Cambodia national football team
129,Odi Stadium,"60,000",Africa,South Africa,"Mabopane, Gauteng",https://en.wikipedia.org/wiki/File:Shenyang_Olympic_Sports_Center_Stadium_drone_view_1.jpg,
130,Morodok Techo National Stadium,"60,000",Southeast Asia,Cambodia,Phnom Penh,https://en.wikipedia.org/wiki/File:Estadio_Monumental_de_Barcelona.jpg,Barcelona Sporting Club
131,Shenyang Olympic Sports Centre Stadium,"60,000",East Asia,China,"Shenyang,Liaoning",https://en.wikipedia.org/wiki/File:Stade_Lumi%C3%A8re.jpg,Olympique Lyonnais
132,Optus Stadium,"60,000",Oceania,Australia,"Perth, Western Australia",https://en.wikipedia.org/wiki/File:Chongqing_Olympic_Stadium.jpg,
133,Estadio Monumental Isidro Romero Carbo,"59,283",South America,Ecuador,Guayaquil,https://en.wikipedia.org/wiki/File:National_Stadium_panorama.jpg,Poland national football team
134,Groupama Stadium,"59,186",Europe,France,Décines-Charpieu,https://en.wikipedia.org/wiki/File:Nuoviseggiolinisannicola.jpg,SSC Bari
135,Chongqing Olympic Sports Centre Stadium,"58,680",East Asia,China,Chongqing,https://en.wikipedia.org/wiki/File:FedexField2014.jpg,Washington Commanders
136,Kazimierz Górski National Stadium,"58,580",Europe,Poland,Warsaw,https://en.wikipedia.org/wiki/File:Commerzbank-Arena_(Haupttrib%C3%BCne).JPG,Eintracht Frankfurt
137,Stadio San Nicola,"58,270",Europe,Italy,"Bari, Apulia",https://en.wikipedia.org/wiki/File:Panoramio_-_V%26A_Dudush_-_Estadio_Ol%C3%ADmpico_57_619.jpg,
138,Commanders Field,"58,000",North America,United States,"Landover, Maryland",https://en.wikipedia.org/wiki/File:Carter_Finley_Stadium_at_Sunset.jpg,NC State Wolfpack football
139,Deutsche Bank Park,"58,000",Europe,Germany,Frankfurt,https://en.wikipedia.org/wiki/File:La_Bombonera.jpg,CA Boca Juniors
140,Estadio La Cartuja de Sevilla,"57,619",Europe,Spain,Seville,https://en.wikipedia.org/wiki/File:Volksparkstadion_Panorama.jpg,Hamburger SV
